situation_name,food_number,food_name,like,tastiness,healthiness,calories,fatteningness,self_identity,connectedness,descriptive_norms,injunctive_norms,sweetness,saltiness,bitterness,sourness,savouriness,desire,mood_change_goal,energy_level_goal,weight_change_goal,visual_appeal,resisting_temptation,limiting_consumption,food_availability,food_convenience,food_affordability,consumption_frequency,consumption_habitualness,consumption_automaticity,food_fillingness,emotional_satisfaction,consumption_imagery,situational_transport,choice_conflict
Usual Dinner,91,fries/chips,2.001,1.638,-1.386,1.363,1.465,0.803,1.956,1.456,-0.121,-0.873,2.524,-0.417,-0.823,1.244,1.564,1.379,-0.332,1.166,1.785,-1.711,-1.893,1.227,0.447,0.613,1.74,0.247,0.6,0.91,1.937,1.084,1.049,0.911
Usual Dinner,92,water,0.739,-0.446,1.497,-1.931,-1.712,2.243,-0.409,1.286,1.52,-0.904,-1.295,-1.631,-1.434,-0.789,1.658,0.981,0.915,-2.071,0.634,-1.286,0.353,1.524,1.983,2.057,3.373,2.794,2.767,-1.542,0.259,1.177,2.221,-1.915
Usual Dinner,93,bread,0.927,-0.262,-0.181,0.645,0.463,0.875,-0.078,0.552,-0.45,-0.613,0.383,-1,-0.793,0.369,-0.04,1.013,-0.389,0.976,0.055,-0.127,-0.622,0.746,0.069,1.787,0.521,0.033,-0.034,1.093,0.131,0.333,0.71,0.296
Usual Dinner,94,beef,1.31,1.108,0.288,0.272,0.079,0.836,0.988,0.864,0.867,-0.898,0.546,-0.183,-0.778,1.589,1.332,0.393,-0.395,0.209,0.696,-0.327,0.025,0.116,-0.916,-1.514,1.001,1.172,0.987,1.054,0.581,0.656,1.239,0.22
Usual Dinner,95,burger and bun,0.715,1.682,-1.042,1.509,1.296,-0.113,1.267,1.034,0.373,-0.523,1.425,-0.539,-0.447,1.43,0.817,0.573,-0.515,1.231,1.284,-0.86,-1.348,0.395,-0.112,-0.198,0.173,-0.099,0.086,1.441,1.804,0.568,0.886,0.925
Usual Dinner,96,curry dish,0.627,1.66,-0.012,1.112,0.807,0.869,1.557,0.87,0.729,-0.495,1.019,0.885,0.377,1.55,1.796,0.628,-0.433,0.625,1,-1.55,-1.571,-0.134,-0.525,-0.041,1.511,1.161,0.529,1.744,1.215,1.62,0.891,-0.31
Usual Dinner,97,side salad,0.196,-0.687,1.105,-1.448,-1.222,1.002,-0.369,0.891,0.9,-0.842,-0.593,0.554,0.473,0.129,0.082,0.406,0.592,-1.762,0.214,-0.304,0.338,0.223,-0.095,0.947,1.001,1.007,-0.185,-0.503,0.154,0.248,-0.014,-1.006
Usual Dinner,98,soup,0.472,0.32,0.684,-0.467,-0.949,0.737,0.051,0.524,0.492,-0.594,0.886,0.02,-0.042,1.155,-0.178,0.168,-0.129,-1.157,0.412,0.713,0.519,0.639,0.025,1.303,0.675,0.225,0.135,0.518,0.517,-0.061,0.303,-0.542
Usual Dinner,99,salmon,-0.091,0.241,1.123,-0.418,-0.872,0.461,0.333,0.048,0.881,-0.808,0.383,0.537,0.016,1.082,0.779,-0.031,-0.009,-0.949,-0.426,0.049,0.684,-0.33,-0.672,-2.111,-0.139,0.269,0.41,0.656,-0.196,0.043,0.488,-1.125
Usual Dinner,100,cheese,1.203,0.999,-0.228,0.937,0.899,1.305,0.413,0.316,-0.312,-0.746,1.306,0.084,0.208,0.985,0.474,1.382,-0.522,0.732,1.188,-1.255,-1.7,0.853,0.553,-0.084,1.687,0.456,0.712,0.198,1.459,0.834,1.149,0.428
