,gender,living_in_UK,fq1,fq2,fq3,fq4,fq5,fq6,fq7,Healthiness_trait,fillingness_trait,intention_to_cook,healthiness_state,fillingness_state,healthiness,fillingness
5cf9a6420a472100181f587b,male,not_in_UK,2,2,2,4,3,4,2,-0.083333333,0.125,4.6,1,1,0.458333334,0.5625
5c6ae4c31b9d0e000190bacc,female,not_in_UK,5,4,3,3,4,4,4,0.041666667,-0.041666667,5,1,-1,0.520833334,-0.520833334
5d9f841f22ef1f0014f46a8e,female,born_here,0,5,0,5,0,5,0,-0.416666667,0.416666667,0,0,1,-0.208333334,0.708333334
5a81a392190420000155d6df,male,born_here,5,3,4,3,3,2,5,0.125,-0.125,4.6,0,0,0.0625,-0.0625
5c1ac1c637dd01000114e36a,female,born_here,5,3,4,3,5,5,3,0.125,0,3.2,1,-1,0.5625,-0.5
5d97091b1787f60011e03cdf,male,not_in_UK,1,2,1,2,3,4,1,-0.083333333,0.083333333,1.2,0,1,-0.041666667,0.541666667
5d5f97f4eea49d0019483080,female,born_here,2,4,4,2,6,4,4,0,-0.166666667,0,0,1,0,0.416666667
5d6c16f881a8ae00014d49d2,female,5_to_10y,3,2,2,1,6,5,6,0.083333333,-0.25,4.2,1,0,0.541666667,-0.125
5d7d78aeb7d4db001acb0da0,male,born_here,4,3,4,2,5,2,3,0.125,-0.166666667,3.8,0,0,0.0625,-0.083333334
5c51dd37c91d1100017760b8,male,not_in_UK,5,0,5,0,6,3,6,0.416666667,-0.375,5.8,0,1,0.208333334,0.3125
5c82f678a4c44a001484dc00,male,born_here,1,3,3,3,4,5,3,-0.083333333,0.041666667,4.8,0,0,-0.041666667,0.020833334
5c897696146e370001e063c9,male,born_here,3,4,4,4,5,5,3,-0.041666667,0.041666667,1,0,1,-0.020833334,0.520833334
5c4e7b34620ba700010c5dc6,male,not_in_UK,1,1,1,1,3,2,2,0,-0.083333333,3.8,0,1,0,0.458333334
5bdf91dbb32fa800012ea282,male,not_in_UK,3,3,3,4,4,3,3,-0.041666667,0,5,0,1,-0.020833334,0.5
5cb8a8ac317b170001412c87,male,not_in_UK,4,5,4,3,4,4,5,0,-0.083333333,5,0,-1,0,-0.541666667
5d7f8ffae664ab001967d9d3,other,not_in_UK,3,4,4,2,4,5,3,0.041666667,0,5.4,0,1,0.020833334,0.5
5d3873197860c8001a106e02,male,not_in_UK,4,5,5,3,3,4,5,0.041666667,-0.041666667,6,0,-1,0.020833334,-0.520833334
5da03c3607c83700140a3d8f,female,not_in_UK,0,4,4,3,0,5,3,-0.125,0.208333333,3.2,-1,1,-0.5625,0.604166667
5c5d821f82757f0001347ea4,female,not_in_UK,3,3,4,1,5,4,6,0.125,-0.25,4.4,1,1,0.5625,0.375
59f8868e05d1d60001f1464d,male,born_here,4,4,5,4,5,5,5,0.041666667,-0.041666667,5,0,-1,0.020833334,-0.520833334
5b0eedb316768100010f9023,male,born_here,5,3,4,4,3,5,0,0.083333333,0.25,3.8,0,1,0.041666667,0.625
5cfd098ecfcee60001c251d6,male,not_in_UK,3,3,5,4,5,5,4,0.041666667,0,5.2,1,1,0.520833334,0.5
5c13ea66afe26c00014d8f05,male,not_in_UK,0,4,3,3,0,4,5,-0.166666667,0.083333333,1.8,1,-1,0.416666667,-0.458333334
5b5737d3afbff4000112d2f8,male,not_in_UK,3,2,5,2,3,5,5,0.166666667,-0.041666667,6,0,-1,0.083333334,-0.520833334
5c6eb542045a21000126ab53,female,not_in_UK,4,3,4,2,3,4,3,0.125,0,4,1,-1,0.5625,-0.5
5d04c56a0b54cc0001dad608,female,born_here,4,3,5,2,5,4,4,0.166666667,-0.125,3.6,0,1,0.083333334,0.4375
5c676d436f250200012a04e8,female,not_in_UK,3,1,3,2,4,4,3,0.125,-0.041666667,4.2,1,-1,0.5625,-0.520833334
599be413e6e73e00018726a3,male,born_here,4,4,4,3,5,5,6,0.041666667,-0.125,3.4,0,1,0.020833334,0.4375
5cd168e9f651de0015a062d2,female,not_in_UK,3,1,2,1,3,4,3,0.125,-0.041666667,5,0,-1,0.0625,-0.520833334
5ce16d99dd4e16001971d693,female,born_here,3,4,3,4,6,2,2,-0.083333333,-0.083333333,4.8,1,-1,0.458333334,-0.541666667
5c486433929dc500011c908a,female,not_in_UK,5,4,5,3,5,5,5,0.125,-0.083333333,5.2,1,1,0.5625,0.458333334
59ba957d3a9ab60001118fc2,male,not_in_UK,2,2,3,3,4,5,5,0,-0.041666667,3.8,1,-1,0.5,-0.520833334
5d6bbd83a9d20a0001de4c75,male,born_here,4,3,4,4,5,3,4,0.041666667,-0.083333333,4.8,1,1,0.520833334,0.458333334
5dae25fc2e361800135fbd02,female,not_in_UK,5,4,5,1,3,2,4,0.208333333,-0.166666667,3.4,0,-1,0.104166667,-0.583333334
5cdfb5e4b5dcb500011d0d07,female,born_here,0,4,4,1,6,5,6,-0.041666667,-0.25,1.4,0,1,-0.020833334,0.375
5d3067ad3c028b001782ab68,male,not_in_UK,1,4,2,3,6,4,4,-0.166666667,-0.125,5,0,1,-0.083333334,0.4375
5b212164cfbf200001cfb3ad,male,not_in_UK,1,5,3,4,6,6,5,-0.208333333,-0.041666667,3.2,1,1,0.395833334,0.479166667
5c4d7aa4d3a5e30001834302,male,born_here,5,3,5,3,5,4,2,0.166666667,0,2.6,1,1,0.583333334,0.5
5bafd12a70f8df0001be84a7,male,5_to_10y,3,2,3,4,4,5,3,0,0.083333333,6,1,1,0.5,0.541666667
5d820531b677580001847761,female,not_in_UK,3,4,3,3,5,4,5,-0.041666667,-0.125,6,1,1,0.479166667,0.4375
5d84e6c5e1adea00016d2a45,male,not_in_UK,3,1,3,2,1,3,1,0.125,0.125,3.4,0,0,0.0625,0.0625
5c0333c84e1b7b00016a83fd,male,not_in_UK,0,3,0,2,0,3,2,-0.208333333,0.125,0.2,1,-1,0.395833334,-0.4375
5c59b060c16a6a0001c09337,male,not_in_UK,1,5,4,3,5,5,2,-0.125,0.041666667,6,0,-1,-0.0625,-0.479166667
5d0a5e869b4ee500013d5575,male,born_here,2,3,2,3,1,3,5,-0.083333333,0,3.8,0,1,-0.041666667,0.5
5cbcd05c56524100013b19c0,female,not_in_UK,1,2,4,2,4,4,3,0.041666667,-0.041666667,0,-1,-1,-0.479166667,-0.520833334
5d8896bd68b5810019745311,female,not_in_UK,5,1,5,1,4,4,5,0.333333333,-0.166666667,4,1,1,0.666666667,0.416666667
5c976a80bfb5690001eeeb84,male,not_in_UK,3,2,3,2,5,4,5,0.083333333,-0.166666667,6,0,-1,0.041666667,-0.583333334
5d8125f63d05eb0001731115,female,5_to_10y,3,3,4,3,4,4,1,0.041666667,0.083333333,5.8,0,1,0.020833334,0.541666667
5d42d3cd0ff61e0019ff2061,female,born_here,1,4,1,4,0,4,1,-0.25,0.291666667,0,0,-1,-0.125,-0.354166667
592f1045bb4ce30001bd4fba,male,not_in_UK,0,2,2,3,4,5,4,-0.125,0,4.4,0,-1,-0.0625,-0.5
5d7df958cb6cf00001399929,male,not_in_UK,0,3,3,2,3,4,4,-0.083333333,-0.041666667,4,0,-1,-0.041666667,-0.520833334
5d893d3fc993870001ccd14e,male,not_in_UK,2,3,1,3,1,2,2,-0.125,0.083333333,5,1,1,0.4375,0.541666667
5db29ce254945b003c8ef699,female,not_in_UK,5,4,4,3,5,4,4,0.083333333,-0.083333333,6,1,-1,0.541666667,-0.541666667
5c84014bd34170000141b8d6,female,not_in_UK,1,1,1,3,1,3,2,-0.083333333,0.125,3.6,1,-1,0.458333334,-0.4375
5ace82e135eccf0001a11c96,female,born_here,1,2,6,3,2,1,1,0.083333333,0.041666667,3,1,-1,0.541666667,-0.479166667
5d1cbebd56f8cf0015425d2a,female,not_in_UK,1,0,2,2,3,4,2,0.041666667,0.041666667,3.6,0,1,0.020833334,0.520833334
5b222aff59f9620001c109cb,male,not_in_UK,2,2,1,3,2,2,3,-0.083333333,0,3.4,1,0,0.458333334,0
5c65f80affc8240001bf6b8a,female,born_here,2,4,3,4,4,4,4,-0.125,0,2.8,-1,1,-0.5625,0.5
5be385ba24f70e00018b0024,female,1st_y,3,2,3,2,2,5,3,0.083333333,0.083333333,4,0,-1,0.041666667,-0.458333334
5da71ab67547d30017c1970d,male,less_5y,1,3,2,3,2,5,3,-0.125,0.125,3,0,0,-0.0625,0.0625
5901cf755b40770001f29ca6,male,not_in_UK,3,1,3,1,4,4,1,0.166666667,0,2.6,1,-1,0.583333334,-0.5
5c6244086937550001232ae6,male,not_in_UK,1,1,0,1,2,2,2,-0.041666667,-0.041666667,5,0,-1,-0.020833334,-0.520833334
5a23f9a9d6fdbc00011c9572,female,more_10y,4,1,3,1,5,0,5,0.208333333,-0.375,5.4,0,-1,0.104166667,-0.6875
5b745aefcaefde0001f08744,female,born_here,3,3,4,2,3,3,3,0.083333333,-0.041666667,4.6,0,-1,0.041666667,-0.520833334
5d31b301d509220001684de5,male,born_here,4,4,5,4,5,5,5,0.041666667,-0.041666667,3,1,-1,0.520833334,-0.520833334
5769c881c8a90000010d9896,male,born_here,5,2,4,4,4,5,4,0.125,0.041666667,5.2,1,1,0.5625,0.520833334
5d2eb5cf13d28c001ab7be8a,male,born_here,4,4,4,4,3,4,1,0,0.166666667,1.4,0,1,0,0.583333334
5d8b998f5767850018a99aec,female,not_in_UK,3,1,0,2,0,3,3,0,0.083333333,4.2,0,1,0,0.541666667
5d4c07075736bc0018d3d811,female,not_in_UK,3,4,5,1,3,4,1,0.125,0.041666667,6,1,1,0.5625,0.520833334
5c52016a3146f80001d47b26,female,not_in_UK,4,4,3,4,4,4,3,-0.041666667,0.041666667,2,0,-1,-0.020833334,-0.479166667
5c95017e6357fb0012ef46c4,other,born_here,4,2,5,3,5,3,4,0.166666667,-0.125,0,1,0,0.583333334,-0.0625
5d7a015cb8c68b0001449a1f,female,not_in_UK,5,3,4,3,5,5,4,0.125,-0.041666667,6,0,-1,0.0625,-0.520833334
