id,prolific_id,XP_condition,age,education,employment,freq_cook,from,gender,living_in_UK,fq1,fq2,fq3,fq4,fq5,fq6,fq7,q1,q17,q18,q19,q2,q24,q3,q4,q5,q6,q7,q8,q8_r,q10,q11,q12,q13,q14,q15,q16,q20,q21,q27,q9,food_val_state,food_val_trait,food_values,n_accepted_reco,n_queries,n_reco,n_seed_ingredients,queries,seed_ingredients,duration,free_text_about_cora,free_text_about_study
LtZiRvbOaJLslpZO2Dw,5cf91e3f1756e60017a30568,human,30-49,college,['part-time'],once_day,I'm Irish. I live in Ireland.,female,not_in_UK,2,2,5,3,5,5,4,3,1,0,1,4,6,5,5,5,6,4,1,5,3,4,2,6,0,4,5,0,0,6,2,"{'food_fillingness': -1, 'healthiness': 1}","{'comfort': -0.016666666666666666, 'food_fillingness': -0.02, 'healthiness': 0.04}","{'food_fillingness': -0.51, 'healthiness': 0.020000000000000018}",0,1,2,1,['pepper&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['pepper'],0:20:41,Cora was very personable for a bot. The recommended recipe was a bit too healthy for my tastes. ,I enjoyed the study.I think people would like using a service like this to find meal ideas.
LtZiSL_Fv6SPEEN28A2,robot
LtZiSMOL2yXCOwOoEJI,59ba957d3a9ab60001118fc2,NONE,30-49,graduate,['full-time'],several_t_w,Portugal,male,not_in_UK,2,2,3,3,4,5,5,3,4,4,4,5,0,0,3,0,3,0,0,6,3,5,3,6,4,3,3,4,3,6,4,"{'food_fillingness': -1, 'healthiness': 1}","{'comfort': -0.016666666666666666, 'food_fillingness': -0.02, 'healthiness': 0.0}","{'food_fillingness': -0.51, 'healthiness': 1}",1,1,1,1,['broccoli&maxReadyTime=21&diet=vegan&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['broccoli'],0:03:09,She's very fast. Well done,"None, thanks."
LtZiSgewmqs_gKx2qry,5d9a125f1714540016a40a27,human,18-29,secondary,['student'],once_day,Portugal,female,not_in_UK,3,3,3,3,2,5,3,2,3,3,3,2,4,2,3,4,5,3,3,3,2,2,2,6,3,4,3,3,3,6,2,"{'food_fillingness': -1, 'healthiness': 1}","{'comfort': 0.05, 'food_fillingness': 0.06, 'healthiness': 0.0}","{'food_fillingness': -0.47, 'healthiness': 1}",3,1,5,1,['spinach&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['spinach'],0:10:11,"I think she should make more specific questions, for example if you have preference in any protein or carbohidrate.",
LtZiSh9m537jLKgZi-k,5d8f73849f7774001b90b23e,human,18-29,secondary,['part-time'],occasionnaly,UK,female,born_here,2,3,2,0,5,5,4,0,1,0,0,6,6,0,6,3,6,0,0,6,0,0,0,6,0,6,3,0,0,6,0,"{'food_fillingness': 1, 'healthiness': 0}","{'comfort': -0.06666666666666667, 'food_fillingness': -0.08, 'healthiness': 0.02}","{'food_fillingness': 0.46, 'healthiness': 0.51}",1,1,5,1,['soup&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['soup'],0:05:23,"I think the Cora app was offering meals that weren't very balanced, just vegetables, no carbs, or meat. I think the app would be great for vegeterians or vegans.",
LtZiSupsZpXOW0GdJ40,591a1f4800a5650001276188,human,30-49,college,['full-time'],several_t_w,Germany,male,not_in_UK,1,2,2,3,4,4,4,4,4,4,4,4,4,3,5,4,6,3,3,3,5,3,3,5,5,3,3,4,4,6,5,"{'food_fillingness': 1, 'healthiness': 1}","{'comfort': -0.016666666666666666, 'food_fillingness': -0.02, 'healthiness': -0.04}","{'food_fillingness': 0.49, 'healthiness': 0.98}",1,1,3,1,['salmon&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['salmon'],0:09:19,"It was good over all, but i could feel that she won't be able to recognise and reply to certain things I could say. But she serves her purpose well enough.",
LtZiT0W2z3Q67GuPzxw,robot
LtZiTSV50aI1IMtnsFb,598c282ccceb0f0001b39660,robot,50-69,udergrad,['full-time'],once_day,Uk,male,born_here,2,5,3,3,5,3,2,2,0,0,0,4,6,1,5,2,6,3,0,6,5,1,3,5,5,4,3,0,0,6,5,"{'food_fillingness': 1, 'healthiness': 0}","{'comfort': -0.016666666666666666, 'food_fillingness': -0.02, 'healthiness': -0.06}","{'food_fillingness': 0.49, 'healthiness': 0.47}",1,1,1,1,['soup&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['soup'],0:11:45,None ,No
LtZiTiiyXUGT891J_1B,5d6bbd83a9d20a0001de4c75,NONE,18-29,college,['full-time'],once_w,England,male,born_here,4,3,4,4,5,3,4,4,4,5,5,4,2,4,4,4,4,4,4,2,3,4,4,5,5,5,4,5,5,6,4,"{'food_fillingness': 1, 'healthiness': 1}","{'comfort': -0.03333333333333333, 'food_fillingness': -0.04, 'healthiness': 0.02}","{'food_fillingness': 0.48, 'healthiness': 1}",1,1,1,1,['salmon&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['salmon'],0:03:24,,
LtZiTq0_XSNfdK5wC5j,5dae25fc2e361800135fbd02,NONE,50-69,graduate,['full-time'],several_t_w,United States,female,not_in_UK,5,4,5,1,3,2,4,5,3,3,4,3,4,5,4,2,5,4,5,1,3,4,6,4,5,3,5,3,4,6,5,"{'food_fillingness': -1, 'healthiness': 0}","{'comfort': -0.06666666666666667, 'food_fillingness': -0.08, 'healthiness': 0.1}","{'food_fillingness': -0.54, 'healthiness': 0.55}",0,1,1,1,['onion&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['onion'],0:03:59,Cora was a bit slow to react sometimes. She could be a bit more responsive.,
